Total Daily Sunspots,Northern Total Daily Sunspots,Southern Total Daily Sunspots,Earthquake,Magnitude,Longitude,Latitude,OutagesCount,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp,Year,Month
-0.05026778335,0.1518225676,-0.2403836801,-0.8403616479,-0.1538770929,-117.807,36.017,0,0.2931988306,-1.416223052,-0.7217801396,-1.380410636,1.230071579,-1.626258164,-0.3900244413,0.569729885,-1.372309249,1993,12
0.2368873266,0.9975608947,-0.5424529143,0.3656895261,0.5241336686,-118.9506667,37.6378333,0,0.05917238931,-1.269372941,-0.9094934592,-1.417413997,1.200431833,-1.593565322,-0.8345273753,0.4786709736,-1.06513225,1994,1
-0.3784450519,0.06462221836,-0.7551343138,-0.5597131127,-0.3581194722,-4.327,37.288,0,-0.09336270185,-1.188498967,-1.308512483,-1.366402221,1.161298106,-1.559041682,-0.1824511834,0.4112199281,-2.519521307,1994,2
-0.4149716315,-0.5048065683,-0.2650423931,-0.7937809781,-0.1450766233,-118.586,34.318,0,-0.1278398115,-1.089534762,-1.176702857,-1.396533529,1.135363329,-1.566452059,-0.07359862385,0.3201610166,-0.964829556,1994,3
-0.7802374269,-0.4071001529,-1.028435049,-1.166814508,0.1830469358,-111.2481667,39.69,0,0.1479770657,-0.9394922575,-0.7089581916,-1.380939255,1.164076833,-1.571595733,-0.5053717836,0.2527099711,-0.9836363111,1994,4
-0.722356847,-0.4007965132,-0.9287727511,-1.093838126,0.5406914528,-122.0498333,42.2991667,0,0.2503636337,-0.901183533,-1.155674862,-1.362966194,1.137100033,-1.547185078,-0.7672414256,0.2088667915,-0.7015349853,1994,5
-0.5723168972,-0.6623975609,-0.3986104218,-1.216112384,0.7860884305,-122.7508333,38.835,0,0.4728977051,-0.9948270819,-1.58803095,-1.361644646,1.116838488,-1.485373813,-0.7656826777,0.1414157459,-0.8707957808,1994,6
-0.3604627358,-0.4564786639,-0.212642628,-1.247166164,0.4531460629,-122.7276667,38.7681667,0,0.565881425,-1.144869586,-2.059365761,-1.380939255,1.155509094,-1.403423758,-0.774255791,0.1211804323,-1.184241698,1994,7
-0.6436842142,-0.7359400242,-0.4571748652,-1.213395178,0.3339545308,-117.15,33.988,0,0.4823005532,-1.35450344,-2.23989879,-1.347371921,1.199274031,-1.355997343,-0.7316500159,0.1009451186,-0.9710984744,1994,8
-0.5593921075,-0.7128266786,-0.3256617292,-1.104318776,0.7450062207,-117.715,35.89,0,0.6254327963,-1.544982931,-1.047970498,-1.265435908,1.177738903,-1.307350395,-1.068859138,0.06047449131,-1.090207923,1994,9
-0.07218373108,0.001585821309,-0.1335292571,-1.127609111,1.37008978,-120.9248333,34.801,0,1.203185573,-1.496032894,0.05266552312,-1.189579018,1.164539954,-1.196543459,-0.8906422985,0.07733725269,-0.6263079651,1994,10
-0.7448347421,-0.7432942705,-0.634923088,-1.225040345,0.5074038678,147.262,43.937,0,1.041247634,-1.339605603,0.1767819803,-1.162883736,1.182949014,-1.080244125,-0.59577916,0.05372938676,-0.5134674348,1994,11
-0.6807727411,-0.9418589212,-0.3236068365,-1.374874833,0.3365256508,-118.9135,37.6505,0,0.9430401094,-1.200204411,0.07933517509,-1.154161515,1.150530543,-1.042581972,-0.9181801776,0.05710193903,-0.6451147202,1994,12
-0.6734674252,-0.7842679286,-0.4643669898,-1.398165168,1.458378741,121.19,12.904,0,0.9597562837,-1.093791287,-0.6792112721,-1.109757482,1.107460287,-1.022617543,-0.6072099777,-0.07780015202,0.1196933185,1995,1
-0.5206177385,-0.7359400242,-0.2321641091,-1.426501742,1.400964297,-120.07,35.545,0,0.710058429,-0.9958912131,-1.060792446,-1.083062201,1.092293074,-1.00413519,-0.6355272306,-0.08791780885,0.7465851535,1995,2
-0.4346397897,-0.846253719,0.03291705555,-1.353137187,1.111990382,-122.6328333,38.9351667,0,0.6066271001,-0.8916063519,-0.6627991785,-1.107378695,1.068442341,-0.9453752571,-0.8820691853,-0.1148982271,-0.2752485375,1995,3
-0.8774543233,-0.9460613477,-0.6791032821,-1.308109206,1.643995401,-121.3203333,36.7071667,0,0.1437980221,-0.7362431913,-0.7617846176,-1.161826497,1.04100242,-0.8753689864,-1.134066757,-0.1452511976,-0.6325768835,1995,4
-0.90386585,-0.7958246014,-0.8743180933,-1.292194144,1.818924971,-150.5533,63.61,0,0.2221550895,-0.6787801045,-0.8017890955,-1.186671611,1.050264841,-0.828378476,-1.03950272,-0.1452511976,-0.964829556,1995,5
-0.8622817441,-0.5006041418,-1.086999493,-1.324800613,1.227703538,-122.8085,38.8198333,0,0.1803646535,-0.7373073226,-0.9510365709,-1.174249054,1.042391783,-0.8111166558,-0.8672610805,-0.1688590635,-0.2940552926,1995,6
-0.8864454813,-0.6004117705,-1.033572281,-1.164873647,0.4081878793,-116.226,33.232,0,-0.1038103108,-0.8990552706,-1.454682691,-1.21600999,1.014951862,-0.7316076659,-0.9423407695,-0.1654865112,-0.337937721,1995,7
-0.9240959556,-0.6361323955,-1.067478012,-0.5360346056,-0.01299035457,-120.299,36.1928333,0,-0.4997746913,-1.174665261,-1.36595481,-1.220238945,1.017846369,-0.6645655462,-0.8929804203,-0.1890943771,-0.1561390889,1995,8
-0.9769190091,-0.7086242521,-1.093164171,-0.1102096497,-0.4640340443,-111.0166667,44.7391667,0,-0.7829048948,-1.281078385,-0.8366647942,-1.185614372,1.033013582,-0.634749675,-0.9467572218,-0.1958394817,-0.7516863321,1995,9
-0.7083081626,-0.7800655021,-0.5321784505,-0.239082836,-0.2548626784,-116.462,34.385,0,-0.8027553519,-1.295976222,-0.4535449862,-1.098920784,1.033824044,-0.5871488982,-1.183946689,-0.1857218249,-0.5573498633,1995,10
-1.006140273,-0.9366058881,-0.9236355193,-0.8116369015,0.2645764309,-120.5846667,49.1878333,0,-0.8111134391,-1.143805455,-0.4853434174,-1.065617759,1.053275127,-0.5425122723,-1.000793815,-0.1924669294,-0.4006269045,1995,11
-0.9819765355,-0.9702252999,-0.8465770412,-0.9735047289,1.782586019,-116.086,33.234,0,-0.8779781366,-1.015045575,-0.2473680614,-1.02702854,1.054896051,-0.505111662,-1.087304321,-0.2228198999,-1.046325495,1995,12
-1.009511957,-0.6855109065,-1.175359881,-0.8182358297,1.211312697,-116.471,34.348,0,-0.9667828129,-0.8628748085,-0.329428529,-0.9762810735,1.008352388,-0.4527159351,-1.085485782,-0.2329375567,-1.635603819,1996,1
-1.116281959,-0.8945816234,-1.166112864,-0.9467208438,1.912020683,-121.254,36.64,0,-0.9155895289,-0.7426279787,-0.375587542,-0.9207760322,0.9857752377,-0.381227589,-1.125753435,-0.2396826613,-0.5260052715,1996,2
